id,neighbourhood,LAT_LONG
2258,Harlem,"40.81816, -73.93932"
2259,East Harlem,"40.80141, -73.93814"
2260,Financial District,"40.70571, -74.00784"
2261,Harlem,"40.82932, -73.94563"
2262,Lower East Side,"40.71989, -73.98459"
2263,Midtown,"40.75231, -73.96707"
2264,Upper West Side,"40.77837, -73.97964"
2265,East Village,"40.73219, -73.98503"
2266,Midtown,"40.74447, -73.98362"
2267,West Village,"40.73229, -74.004"
2268,East Harlem,"40.79315, -73.93984"
2269,Upper East Side,"40.76798, -73.95274"
2270,Roosevelt Island,"40.76641, -73.94561"
2271,Murray Hill,"40.74868, -73.97563"
2272,Washington Heights,"40.8512, -73.93693"
2273,East Village,"40.72941, -73.98336"
2274,East Village,"40.72496, -73.98289"
2275,Hell's Kitchen,"40.76323, -73.99248"
2276,East Harlem,"40.79805, -73.93527"
2277,Harlem,"40.80375, -73.95501"
2278,Upper West Side,"40.7852, -73.9746"
2279,Chelsea,"40.74794, -73.98927"
2280,East Village,"40.73237, -73.98918"
2281,Upper East Side,"40.76139, -73.96222"
2282,Lower East Side,"40.72168, -73.99183"
2283,East Village,"40.72861, -73.97734"
2284,Midtown,"40.74387, -73.98496"
2285,Upper East Side,"40.76578, -73.95443"
2286,Chelsea,"40.75426, -73.99848"
2287,Lower East Side,"40.72147, -73.99208"
2288,Midtown,"40.75726, -73.96177"
2289,Hell's Kitchen,"40.75949, -73.98825"
2290,Upper East Side,"40.78042, -73.95128"
2291,Financial District,"40.7062, -74.01192"
2292,East Harlem,"40.79824, -73.94014"
2293,Hell's Kitchen,"40.76349, -73.98985"
2294,Kips Bay,"40.7419, -73.9816"
2295,East Village,"40.72981, -73.98318"
2296,Upper West Side,"40.80021, -73.96634"
2297,East Village,"40.73395, -73.98899"
2298,Upper East Side,"40.76805, -73.95424"
2299,Midtown,"40.75693, -73.96583"
2300,Midtown,"40.75287, -73.99066"
2301,Upper West Side,"40.79253, -73.97378"
2302,Harlem,"40.80954, -73.94227"
2303,East Village,"40.72628, -73.97981"
2304,East Harlem,"40.78861, -73.94523"
2305,West Village,"40.73886, -74.00413"
2306,East Harlem,"40.78898, -73.95478"
2307,Nolita,"40.72106, -73.99501"
2308,Hell's Kitchen,"40.76187, -73.98984"
2309,Hell's Kitchen,"40.76037, -73.99016"
2310,Chelsea,"40.74334, -74.0025"
2311,Upper West Side,"40.8012, -73.96693"
2312,Financial District,"40.70637, -74.01199"
2313,Harlem,"40.82485, -73.94366"
2314,Harlem,"40.80384, -73.95419"
2315,Midtown,"40.75938, -73.97235"
2316,Upper East Side,"40.77759, -73.95321"
2317,Harlem,"40.81737, -73.93781"
2318,East Harlem,"40.78918, -73.94995"
2319,Harlem,"40.82502, -73.95186"
2320,Inwood,"40.86488, -73.92922"
2321,Upper West Side,"40.78021, -73.9805"
2322,Harlem,"40.8118, -73.94434"
2323,Upper West Side,"40.80165, -73.96287"
